Player,SProd
Magic Johnson,30.64441667
LeBron James,29.42305263
Michael Jordan,28.40423077
Chris Paul,27.11405882
Larry Bird,26.93427273
James Harden,26.27835714
Damian Lillard,25.9602
Stephen Curry,25.54558333
Russell Westbrook,25.35942857
Kevin Durant,25.02742857
John Stockton,24.20105263
Allen Iverson,23.2915
Isiah Thomas,22.72684615
Giannis Antetokounmpo,22.15277778
Charles Barkley,22.13026667
Anthony Davis,21.9367
Clyde Drexler,21.4644375
Kobe Bryant,21.39052632
Jason Kidd,21.35495238
Karl Malone,21.26363158
Steve Nash,20.60170588
Dwyane Wade,20.20676471
Gary Payton,20.1675
Kawhi Leonard,19.43333333
David Robinson,19.33084615
Dominique Wilkins,19.103625
Julius Erving,18.95028571
Shaquille O'Neal,17.993
Hakeem Olajuwon,17.94355556
Tim Duncan,17.85242105
Kevin Garnett,17.43695238
George Gervin,17.4125
Carmelo Anthony,17.16
Dirk Nowitzki,17.12038095
Ray Allen,16.99631579
Scottie Pippen,16.96617647
Kareem Abdul-Jabbar,16.75166667
Moses Malone,16.65923077
Reggie Miller,16.27627778
Paul Pierce,15.943
James Worthy,15.65291667
Patrick Ewing,14.86023529
Kevin McHale,14.41769231
Tiny Archibald,14.08225
Robert Parish,11.88470588
Bill Walton,10.58125
Dennis Rodman,8.885461538
Elvin Hayes,8.66375
Dave Cowens,7.105
Bob McAdoo,6.923
